"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bulgaria","BGR","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.56787002086639","0.367559999227524","0.376489996910095","0.399159997701645","0.118249997496605","0.16414999961853","0.0710500031709671","0.0664599984884262","1.04875004291534","0.845589995384216","1.48259997367859","2.50696992874146","3.69968008995056","3.25387001037598","2.9882800579071","3.36121988296509","3.53475999832153","4.03474998474121","4.18113994598389","4.21193981170654","5.04082012176514","5.29597997665405","5.71410989761353","5.9025502204895","",
"Bahrain","BHR","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","30.8420791625977","30.6128406524658","30.9168300628662","29.1283798217773","23.9833393096924","23.3448696136475","20.4914798736572","20.760440826416","20.1310901641846","20.2870903015137","23.8001403808594","26.6626205444336","24.551139831543","21.0755996704102","16.2073001861572","10.7209196090698","10.3206100463867","6.99563980102539","6.79147005081177","","10.2888498306274","15.7322998046875","15.133020401001","14.649299621582","12.7000198364258","11.5441102981567","10.7469997406006","6.97488021850586","4.87970018386841","7.0863299369812","7.22977018356323","8.95053958892822","10.7152795791626","10.1721000671387","9.96265029907227","4.41539001464844","","","","","6.40638882575366","0.522209907067951","0.419653289956207","0.544773047381397","1.58912341600881","1.68792265332114","1.80671642445557","2.82811147951097","3.01107085515421","","","3.24484274602638","6.71227293433177","4.74693069306931","",
"Bahamas, The","BHS","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","0","5.2917799949646","6.15186977386475","6.67431020736694","7.40047979354858","6.99409008026123","","","5.27442979812622","0.898890018463135","","","3.43368005752564","","","","","","","","0.16788999736309","0.541339993476868","0","","","","","14.1871099472046","","","","","12.5216598510742","8.72436046600342","9.81266975402832","6.14188003540039","4.90198993682861","7.1729998588562","7.05495566145865","1.152232410944","3.21468533583331","","","","","","","","","","","28.9178100618779","15.8760387811634","",
"Bosnia and Herzegovina","BIH","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5393400192261","10.4861698150635","10.3100500106812","11.5513896942139","11.1616401672363","9.87745952606201","7.92539978027344","4.86941003799438","1.96872997283936","0.703859984874725","","1.84160995483398","1.55016994476318","1.4964599609375","2.0972900390625","","",
"Belarus","BLR","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.0762901306152","","","","","","0","0.625959992408752","0.435479998588562","1.88443005084991","1.75583004951477","1.41091001033783","1.12297999858856","0.506420016288757","0.713819980621338","0.618499994277954","0.598980009555817","0.63739001750946","0.530505461578883","1.54319002754644","2.18035643866634","2.1535689374564","2.75349159396413","3.53589282556828","4.56070969781347","5.06250961263815","5.05565105285776","5.30326525187187","5.45007173087335","4.49176546006799","",
"Belize","BLZ","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43399000167847","2.46674990653992","2.4143500328064","","1.47666001319885","1.44790005683899","0.329270005226135","0.582279980182648","0.828649997711182","0.997940003871918","1.46040999889374","1.52526010940684","1.51814049232353","0.518516704559889","0.0539573032145039","0.498338436658121","0.390109175550429","0.518670482735969","0.25854678010858","0.441112080966086","0.952858294957428","0.576739522689395","4.07249032783547","8.09312885347341","11.6355845121231","10.6771001746104","",
"Bermuda","BMU","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","15.9267702102661","17.1914005279541","","","","","4.88194990158081","4.02309989929199","","","","","","","","","","","","","","","","","","","","4.57116985321045","","","","","","3.83886003494263","3.41018009185791","","","","","","","","","","","","","",
"Bolivia","BOL","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.684449970722198","0.449239999055862","0.0838799998164177","0.251419991254807","0.24685999751091","0.412429988384247","0.656499981880188","0.547129988670349","0.5244500041008","0.482520014047623","0.268099993467331","1.44128000736237","4.26254034255191","6.77400028322132","9.79274671273579","10.6139592092445","11.1278044943419","11.1102879051895","10.3521914728104","8.87407618589682","7.2001383088624","5.98522893451079","5.0455910250841","4.16318405420753","3.38125363480333","4.15748449377552","9.25127029418945","",
"Brazil","BRA","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.47427988052368","4.52868986129761","4.42409992218018","4.7732400894165","4.40990018844604","4.24059009552002","4.74346017837524","3.94756007194519","4.14600992202759","4.81032991409302","3.34068989753723","","2.18720006942749","",
"Barbados","BRB","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","12.1086797714233","11.22350025177","12.6979398727417","","","11.5967502593994","8.15793037414551","4.72820997238159","3.03307008743286","","1.52997994422913","0.477279990911484","2.16547989845276","","","","","","1.93430995941162","4.40031003952026","","9.77350044250488","","","","","","","0.649760007858276","0.427060008049011","0.530089974403381","1.02305996417999","0.990580022335052","0.613900005817413","2.64384007453919","1.88023996353149","1.98348999023438","1.93034994602203","3.39891004562378","1.77459939080916","2.02029231663165","","","5.29744010203152","4.66325971892681","3.94041105338176","6.80986991342993","6.44362412971357","6.34882834825681","7.67228252861142","9.33820950854166","12.0881905727319","14.4829702362688","17.5962132125952","",
"Brunei Darussalam","BRN","Children out of school (% of primary school age)","SE.PRM.UNER.ZS","","","","","","","","","","","","","","","","","","8.80438041687012","6.61879014968872","15.1946001052856","13.9398899078369","16.9278793334961","18.1494197845459","15.8316602706909","14.3845195770264","","11.4299001693726","","","","","5.83398008346558","5.88860988616943","4.17111015319824","5.08353996276855","3.31259989738464","","","","","","","","","","","","","","","","2.98702594901423","1.5423701844255","2.13775507957444","1.21114049649404","0.761554447001397","1.63832517733581","1.5773957106785","1.62642085453611","1.50655130224878","1.09486415206087","1.79804427168442","0.942116616954849","0.584768139620034","3.61188556501645","",
